,state,y1985,CPI1985,pop1985,packpc1985,income1985,tax1985,avgprs1985,taxs1985,y1986,CPI1986,pop1986,packpc1986,income1986,tax1986,avgprs1986,taxs1986,y1987,CPI1987,pop1987,packpc1987,income1987,tax1987,avgprs1987,taxs1987,y1988,CPI1988,pop1988,packpc1988,income1988,tax1988,avgprs1988,taxs1988,y1989,CPI1989,pop1989,packpc1989,income1989,tax1989,avgprs1989,taxs1989,y1990,CPI1990,pop1990,packpc1990,income1990,tax1990,avgprs1990,taxs1990,y1991,CPI1991,pop1991,packpc1991,income1991,tax1991,avgprs1991,taxs1991,y1992,CPI1992,pop1992,packpc1992,income1992,tax1992,avgprs1992,taxs1992,y1993,CPI1993,pop1993,packpc1993,income1993,tax1993,avgprs1993,taxs1993,y1994,CPI1994,pop1994,packpc1994,income1994,tax1994,avgprs1994,taxs1994,y1995,CPI1995,pop1995,packpc1995,income1995,tax1995,avgprs1995,taxs1995
1,Alabama,1985,1.075999975,3973000,116.4862823,46014968,32.50000381,102.1816711,33.34833527,1986,1.095999956,3992000,117.159317,48703940,32.50000381,107.9891663,33.40583801,1987,1.136000037,4016000,115.8366547,51846312,32.50000381,113.5273285,33.46067047,1988,1.183000088,4024000,115.2584457,55698852,32.50000381,120.0334244,33.52508545,89,1.24000001,4030000,109.2059555,60044480,32.50000381,133.256012,33.65600204,1990,1.306999922,4048508,111.744873,64094948,32.50000381,143.4485779,33.75691986,1991,1.361999989,4091025,107.0147476,67649568,34.50000381,161.7211609,35.93783569,1992,1.402999997,4139269,106.9029312,72281824,36.50000381,176.1136627,38.08033752,1993,1.445000052,4193114,104.9577942,75439176,38.50000381,164.7343292,39.96767044,1994,1.481999993,4232965,103.4263229,79832152,40.50000381,156.2755737,41.88391876,1995,1.523999929,4262731,101.085434,83903280,40.50000381,158.3713379,41.90467072
2,Arkansas,,1.075999975,2327000,128.5345917,26210736,37,101.4749985,37,,1.095999956,2332000,127.6586609,27363680,37,109.0833359,37,,1.136000037,2343000,125.309433,28540168,37,117.0250015,37,,1.183000088,2343000,125.5228348,30492638,37,129.4279938,41.97800064,89,1.24000001,2346000,122.8047714,32409780,37,140.9980011,42.42300034,,1.306999922,2354343,117.0177841,34159184,37,150.063324,42.77166748,,1.361999989,2370666,116.2542496,36164020,39,170.0920105,45.54199982,,1.402999997,2394098,124.0968399,39322416,42,187.7574921,50.94083405,,1.445000052,2423743,110.7378159,41190456,49.20833588,180.9674988,57.82583618,,1.481999993,2540605,101.6293411,43498008,55.5,176.0149994,63.88166809,,1.523999929,2480121,111.0429688,45995496,55.5,175.542511,63.85916901
3,Arizona,,1.075999975,3184000,104.5226135,43956936,31,108.5787506,36.17041779,,1.095999956,3309000,103.2940445,47848132,31,116.1999969,36.53333282,,1.136000037,3438000,100.3490372,52003120,31,119.1750031,36.67499924,,1.183000088,3536000,99.46266937,55836700,31,126.5862503,37.02791595,89,1.24000001,3622000,94.91993713,60010740,31,134.6974945,37.4141655,,1.306999922,3679056,85.81005859,63319164,31,147.8574982,38.04083252,,1.361999989,3762394,80.74645996,66077264,35.25,166.5912476,43.18291473,,1.402999997,3867333,76.35752869,70119912,38,184.9487457,46.80708313,,1.445000052,3993390,75.2493515,74900032,40,179.261261,48.53625107,,1.481999993,4147561,72.86209869,82014176,42,170.6949921,50.12833405,,1.523999929,4306908,71.95417023,88870496,65.33332825,198.6074982,74.79082489
4,California,,1.075999975,26444000,100.3630371,447102816,26,107.8373413,32.10400009,,1.095999956,27106000,96.36611938,477762464,26,110.3548355,32.24650192,,1.136000037,27781000,92.46607208,517348384,26,118.4814987,32.70650101,,1.183000088,28468000,88.38345337,561121088,26,130.0090027,33.35900116,89,1.24000001,29218000,80.51543427,606701248,38.5,154.9013367,47.26800156,,1.306999922,29950112,74.20005798,655567168,51,187.8496704,61.63299942,,1.361999989,30414114,68.53068542,669842240,53,206.9915009,64.71649933,,1.402999997,30875920,66.38182831,701571584,55,218.0303345,69.26366425,,1.445000052,31147208,61.75192642,714107328,57,209.8626709,70.72933197,,1.481999993,31317180,57.86600113,735104448,60,206.4386749,73.50533295,,1.523999929,31493524,56.85930634,771470144,61,210.5046692,74.77133179
5,Colorado,,1.075999975,3209000,112.9635391,49466672,31,94.2666626,31,,1.095999956,3238000,109.2340927,51062272,31,100.0583344,31,,1.136000037,3261000,102.698555,53527656,36,112.9166641,36,,1.183000088,3263000,97.02727509,56387208,36,124.6333313,36,89,1.24000001,3276000,91.30036926,60759576,36,141.5916748,36,,1.306999922,3303862,89.1381073,65094512,36,147.1999969,36,,1.361999989,3367567,88.90691376,68992136,38,152.25,38,,1.402999997,3459995,84.74000549,74206960,40,163.7416687,40,,1.445000052,3560884,82.64801788,80212048,42,159.1166687,42,,1.481999993,3653910,82.13119507,85859736,44,159.6166687,44,,1.523999929,3738061,82.58292389,92946544,44,167.3500061,44
6,Connecticut,,1.075999975,3201000,109.2783508,60063368,42,128.0249939,51.48333359,,1.095999956,3224000,106.7617874,64597832,42,130.6259918,51.67599869,,1.136000037,3248000,106.6194611,71098736,42,136.9259949,52.14266586,,1.183000088,3272000,103.850853,78551080,42,147.8249969,52.95000076,89,1.24000001,3283000,100.0304565,84702664,45.5,166.7160034,57.84933472,,1.306999922,3289056,90.81632996,87935184,56,183.8250122,69.6166687,,1.361999989,3288640,87.02685547,88344096,58,194.6699982,72.41999817,,1.402999997,3274997,84.24435425,93778704,63.75,209.2263336,75.59300232,,1.445000052,3272325,79.7903595,96866464,67,214.888504,79.16349792,,1.481999993,3268346,77.62335968,99787808,71,215.9573364,83.22399902,,1.523999929,3265293,79.47219086,104315120,74,218.2805023,86.35549927
7,Delaware,,1.075999975,618000,143.8511353,9927301,30,102.4916611,30,,1.095999956,628000,140.764328,10530821,30,108.8166656,30,,1.136000037,637000,137.5196228,11422540,30,116.0083389,30,,1.183000088,648000,135.9567871,12506597,30,122.0416718,30,89,1.24000001,658000,130.851059,13777657,30,133.3333435,30,,1.306999922,669063,124.3530121,14475729,30,138.9499969,30,,1.361999989,680495,117.4145279,15203588,39.08333588,160.4083252,39.08333588,,1.402999997,690158,116.9297485,15938837,44,182.3999939,44,,1.445000052,699475,119.0893173,16663330,46,166.9166565,46,,1.481999993,708416,121.6799164,17377776,48,157.2833252,48,,1.523999929,718265,124.4665985,18237436,48,165.6000061,48
8,Florida,,1.075999975,11352000,122.1811218,166919248,37,115.2900009,42.49000168,,1.095999956,11669000,120.6187363,179951680,37,121.9400024,42.80666733,,1.136000037,11999000,119.2266006,196939232,40,132.78125,46.32291794,,1.183000088,12308000,118.0614243,216504528,40,142.7212524,46.79624939,89,1.24000001,12638000,112.6048431,240686672,40,154.5568542,48.74850082,,1.306999922,13018365,105.7429199,258479056,40,168.2573395,49.52400208,,1.361999989,13289497,97.62596893,268304176,51.90000153,192.4783478,62.79500198,,1.402999997,13504775,93.90011597,279028352,53.90000153,202.3628235,65.35449982,,1.445000052,13713593,93.27970886,296927424,55.90000153,191.3035126,66.72850037,,1.481999993,13961798,90.46829224,311908864,57.90000153,182.9471741,68.25550079,,1.523999929,14185403,93.07455444,333525344,57.90000153,187.7171783,68.52550507
9,Georgia,,1.075999975,5963000,127.2346191,78364336,28,97.02516937,28.84183311,,1.095999956,6085000,126.5735397,85125968,28,103.2198334,28.90316582,,1.136000037,6209000,124.7865982,92007472,28,107.9415817,28.94991684,,1.183000088,6317000,123.6821213,100276824,28,117.9490051,29.04899979,89,1.24000001,6411000,117.6259537,107725352,28,129.3367462,29.16175079,,1.306999922,6506531,112.6406708,115414192,28,136.9790802,29.23741722,,1.361999989,6621279,109.0725861,121094216,30,151.6745758,31.3829174,,1.402999997,6759474,106.3988113,130683560,32,165.5115814,33.51991653,,1.445000052,6894092,104.3502197,138770624,34,156.9855042,35.4355011,,1.481999993,7045900,102.6696396,149165088,36,152.6930084,37.39300156,,1.523999929,7188538,97.47462463,159800448,36,156.5730743,37.43141556
10,Iowa,,1.075999975,2830000,113.7455826,37902896,34,101.8420029,37.91699982,,1.095999956,2792000,107.7722092,39144360,40,114.3740005,44.39899826,,1.136000037,2767000,107.5533066,41224700,42,126.0913239,46.8496666,,1.183000088,2769000,103.5391846,42399264,44.66666412,139.7673492,50.0423317,89,1.24000001,2771000,97.00469208,45887504,50,155.45401,55.97900009,,1.306999922,2779769,97.66998291,48312552,47,159.1026764,53.11933517,,1.361999989,2791227,96.33756256,49848588,49.41666412,172.6833344,56.05833054,,1.402999997,2806923,93.91065979,53161048,56,192.4346619,63.40133286,,1.445000052,2820525,90.83415985,53390872,58,187.6262512,66.93458557,,1.481999993,2829422,91.67950439,57998884,60,184.625,68.79166412,,1.523999929,2840860,92.40159607,60170928,60,190.8899994,69.08999634
11,Idaho,,1.075999975,994000,103.0181122,11577261,25.10000038,102.8993301,29.05766678,,1.095999956,990000,98.28282928,11850746,25.10000038,108.2639999,29.26399994,,1.136000037,985000,99.28933716,12421681,27.32500076,118.4049988,32.96333313,,1.183000088,986000,88.64097595,13353923,34,135.1612549,40.43624878,89,1.24000001,994000,80.88531494,14720691,34,144.9962616,40.90458298,,1.306999922,1011882,91.31499481,16054421,34,150.2637482,41.1554184,,1.361999989,1038915,82.97117615,16825220,36,165.2350006,43.86833191,,1.402999997,1066490,80.45082092,18382160,38,178.0099945,46.4766655,,1.445000052,1101204,79.36767578,20105404,40,166.7312317,47.93958282,,1.481999993,1135459,83.84274292,21399344,42,159.8625031,49.61249924,,1.523999929,1165000,74.84978485,22868920,52,179.6375122,60.5541687
12,Illinois,,1.075999975,11401000,123.2084808,176786352,28.00000572,104.4402542,28.9152565,,1.095999956,11389000,119.5802994,185432176,32.66667175,113.9128265,33.62950516,,1.136000037,11393000,111.9371643,196946624,36.00000763,128.056839,43.24850845,,1.183000088,11392000,110.0947952,210271984,36.00000763,136.8636627,43.74700928,89,1.24000001,11410000,106.9763336,224024336,36.00000763,143.5063324,44.12300873,,1.306999922,11446979,95.99912262,237593008,46.00000763,160.280838,55.07250977,,1.361999989,11535973,95.33657074,245952368,48.00000763,178.8396759,58.12300873,,1.402999997,11635197,93.27732849,264868800,50.00000763,195.3491669,61.05750656,,1.445000052,11725984,92.39310455,274220704,52.00000763,186.401001,62.55100632,,1.481999993,11804986,83.60027313,288509472,68.00000763,194.9428253,79.03450775,,1.523999929,11884935,83.26507568,304767456,68.00000763,198.4761658,79.2345047
13,Indiana,,1.075999975,5460000,137.6373749,71751616,26.5,96.18000031,31.07999992,,1.095999956,5455000,138.8817596,75381600,26.5,102.2612457,31.36958313,,1.136000037,5474000,136.7738495,80257856,26.5,107.6775055,31.62750053,,1.183000088,5493000,135.8638153,85759016,31.5,120.7062531,37.24791718,89,1.24000001,5524000,134.2867432,92629880,31.5,132.1774902,37.79416656,,1.306999922,5555097,129.3766785,97907440,31.5,140.4025116,38.18583298,,1.361999989,5602062,126.3641891,101146560,33.5,153.0812531,40.78958511,,1.402999997,5648649,126.1540604,108844848,35.5,163.6250153,43.29166794,,1.445000052,5701965,123.553894,114675360,37.5,158.3487549,45.04041672,,1.481999993,5745626,124.860199,121537088,39.5,153.7462463,46.82125092,,1.523999929,5791819,134.2583466,126525008,39.5,154.5337524,46.85874939
14,Kansas,,1.075999975,2428000,116.680397,34784360,32,98.9229126,34.88124847,,1.095999956,2433000,110.0287781,36256488,38,110.9395828,41.23125076,,1.136000037,2446000,106.2551117,38106992,40,124.7826691,44.79933167,,1.183000088,2462000,104.6303787,40206912,40,136.5,45.25,89,1.24000001,2473000,97.93772888,42267324,40,147.602005,45.67700195,,1.306999922,2480683,95.45758057,45103584,40,151.5713348,45.82966614,,1.361999989,2495209,91.61557007,46989840,42,168.4713287,48.47966766,,1.402999997,2526042,88.75545502,50406832,44,181.1679993,50.9679985,,1.445000052,2547605,87.88646698,52250372,46,173.6175079,54.26750183,,1.481999993,2569118,86.95590973,54856808,48,171.3162384,56.15791702,,1.523999929,2586942,88.75344086,56626672,48,175.2100067,56.3433342
15,Kentucky,,1.075999975,3695000,186.0351868,42703144,19,87.00125122,23.14291763,,1.095999956,3688000,181.8058472,44233712,19,92.79374695,23.41875076,,1.136000037,3684000,175.950058,47080768,19,97.41374969,23.63875008,,1.183000088,3681000,172.5074768,49938632,19,104.8775024,23.99416733,89,1.24000001,3677000,176.0946503,53695508,19,116.2174988,24.53416634,,1.306999922,3692584,186.4818726,57175332,19,124.3812561,24.92291641,,1.361999989,3714686,169.1394501,60328548,21,136.8371735,28.74550056,,1.402999997,3756358,164.4944458,65059952,23,149.8839874,31.48399925,,1.445000052,3792288,162.9886627,67558768,25,145.9796753,33.26300049,,1.481999993,3823215,164.8089294,70781360,27,142.0046692,35.03800201,,1.523999929,3855248,172.6477814,74079712,27,145.9796753,35.26300049
16,Louisiana,,1.075999975,4409000,127.5572662,53431900,32,108.3939972,36.16899872,,1.095999956,4407000,123.2584534,53005136,32,117.008667,36.50033188,,1.136000037,4345000,121.5650177,53286764,32,124.0893326,36.77266693,,1.183000088,4289000,116.8104477,56239456,32,131.4646606,37.05633163,89,1.24000001,4253000,108.8408203,59528360,32,143.6326752,37.52433395,,1.306999922,4219179,107.4379654,64229064,32,150.4706726,37.78733444,,1.361999989,4240950,106.344101,68178512,37.66666794,172.1806641,44.28900146,,1.402999997,4270849,106.887413,72466152,40,186.6799927,47.18000031,,1.445000052,4284749,104.2768173,75911280,42,173.3593292,48.66766739,,1.481999993,4306500,103.6108246,80871536,44,162.7253418,50.25866699,,1.523999929,4327978,105.1761322,84572688,44,167.7953491,50.45366669
17,Massachusetts,,1.075999975,5881000,115.677597,98328688,42,112.2083359,42,,1.095999956,5903000,114.246994,105975744,42,118.1500015,42,,1.136000037,5936000,112.0956879,115760808,42,126.9333344,42,,1.183000088,5981000,109.8980026,127579568,42,141.5166626,42,89,1.24000001,6016000,102.4933548,135095936,42,158.3574982,49.54083252,,1.306999922,6018664,97.54656219,139772368,42,166.6962433,49.9379158,,1.361999989,5998652,94.82130432,142463680,44,178.8325043,52.51583481,,1.402999997,5993474,91.19919586,149095680,46,187.5737457,54.93208313,,1.445000052,6010884,84.54663086,154262080,60.5,193.4012451,69.70957947,,1.481999993,6031352,77.2297821,161885984,75,209.448761,84.97374725,,1.523999929,6062335,76.62064362,170051568,75,217.105011,85.33833313
18,Maryland,,1.075999975,4414000,120.9787064,74851664,29,91.96666718,29,,1.095999956,4488000,119.2290497,80611616,29,97.38333893,29,,1.136000037,4566000,115.8782196,87731312,29,105.4916687,29,,1.183000088,4659000,112.6636658,96071784,29,115.6166611,29,89,1.24000001,4727000,107.5946655,104005032,29,126.7916641,29,,1.306999922,4797431,99.97016907,110449944,29,137.3916626,29,,1.361999989,4856176,97.33996582,114466200,31.25,149.9750061,31.25,,1.402999997,4902545,90.60600281,119417456,39.33333588,179.4974976,47.88083649,,1.445000052,4942504,80.97109985,124076160,58,190.5400085,67.07333374,,1.481999993,4985411,79.69252777,129848496,60,183.8025055,68.75250244,,1.523999929,5023650,77.47354889,135115456,60,186.0337524,68.85874939
19,Maine,,1.075999975,1163000,128.1169434,14575292,36,107.0475006,41.09749985,,1.095999956,1170000,118.3760681,15753707,42,121.441246,47.78291702,,1.136000037,1185000,123.9662476,17289266,44,132.0375061,50.28749847,,1.183000088,1204000,123.7541504,19035832,44,144.8825073,50.89916611,89,1.24000001,1220000,120.9016418,20599674,44,159.3987579,51.59041595,,1.306999922,1231296,114.9195633,21521460,46.25,166.582489,54.18249893,,1.361999989,1235439,116.3149261,21820184,50,181.5100098,58.64333344,,1.402999997,1235748,114.9910812,22675764,57,201.9918365,68.4335022,,1.445000052,1238256,108.458992,23292032,59,194.9605103,70.03549957,,1.481999993,1237687,102.3683701,24173868,61,193.0789948,71.92900085,,1.523999929,1237438,102.46978,25045934,61,197.2306519,72.16400146
20,Michigan,,1.075999975,9077000,128.0048523,133728040,37,104.9141693,37.83083344,,1.095999956,9129000,126.1364899,142146336,37,110.0315018,37.88150024,,1.136000037,9189000,122.3636932,148190832,37,118.6669998,37.96699905,,1.183000088,9219000,121.7051773,158529136,39,129.2183228,40.05166626,89,1.24000001,9253000,117.6483231,169112992,41,140.5019226,42.14358521,,1.306999922,9310462,114.74189,177103456,41,145.6781769,42.19483185,,1.361999989,9395022,109.4941559,181495456,43,164.4978333,44.38116837,,1.402999997,9470323,105.9203568,192037536,45,182.8714142,46.56308365,,1.445000052,9529240,104.1950912,203827568,47,173.368988,48.46900177,,1.481999993,9584481,110.5119781,219120752,57.33333206,179.5392456,58.78091431,,1.523999929,9659871,81.38825226,231594240,99,240.8496704,112.6330032
21,Minnesota,,1.075999975,4185000,112.9032288,63152360,34,113.6496658,40.43299866,,1.095999956,4206000,104.4698029,66784232,39,125.6276703,46.11100006,,1.136000037,4236000,108.4985809,71570232,40.25,132.7119904,47.76200104,,1.183000088,4297000,94.0423584,75578160,54,156.8800049,62.88000107,89,1.24000001,4338000,92.09313202,82277040,54,167.709671,63.49300003,,1.306999922,4387283,89.46311188,87795488,54,179.2106628,64.14399719,,1.361999989,4427429,85.87376404,90713792,56.41666794,196.0469971,67.51366425,,1.402999997,4471503,82.67913818,97024880,63,219.5907593,77.36575317,,1.445000052,4521709,79.59380341,99787104,70,218.164093,84.27241516,,1.481999993,4566028,81.36174011,107151552,72,213.6344147,85.97608185,,1.523999929,4605445,82.94529724,113216856,72,220.3486633,86.41533661
22,Missouri,,1.075999975,5001000,130.3739319,69341920,29.00000381,99.33816528,29.85483742,,1.095999956,5024000,129.1003113,72858704,29.00000381,106.6774979,29.92750359,,1.136000037,5057000,129.6816254,77114720,29.00000381,113.0489197,29.99058723,,1.183000088,5082000,129.7127075,81744480,29.00000381,118.1494217,30.0410881,89,1.24000001,5096000,125.4513245,87050224,29.00000381,125.9685059,30.11850357,,1.306999922,5126370,120.9627838,90999728,29.00000381,132.2641754,30.18083763,,1.361999989,5157770,119.5477905,95729992,31.00000381,145.495163,32.31183624,,1.402999997,5193686,121.1856079,101493392,33.00000381,157.1522522,34.42725372,,1.445000052,5237757,119.4404373,106298472,35.00000381,149.9896698,36.3563385,,1.481999993,5281206,117.2459488,112313768,40.00000381,149.1600952,41.31842041,,1.523999929,5324610,122.4502792,117639672,41.00000381,157.2300873,42.3884201
23,Mississippi,,1.075999975,2588000,117.040184,25678534,27.58333206,105.293335,33.54333115,,1.095999956,2594000,114.0323792,26694922,34,118.4196701,40.70299911,,1.136000037,2589000,112.5144806,28248528,34,126.9526672,41.18600082,,1.183000088,2581000,113.0182114,30176940,34,131.9346619,41.4679985,89,1.24000001,2574000,112.1989136,32281126,34,142.0664978,42.04150009,,1.306999922,2577426,105.3764496,33928256,34,150.0253296,42.49200058,,1.361999989,2591230,104.8922729,35774984,36,162.1005096,45.17549896,,1.402999997,2610193,102.5211563,38397576,38,180.959671,48.24300003,,1.445000052,2635574,103.0136108,40767848,40,176.8442383,51.5692482,,1.481999993,2663450,103.1369095,44077268,42,166.010498,52.86050034,,1.523999929,2690788,105.5824509,46241956,42,169.2294006,53.07108307
24,Montana,,1.075999975,822000,104.2579041,9785230,32,99.29166412,32,,1.095999956,814000,99.38574982,10143255,32,104.4499969,32,,1.136000037,805000,95.27950287,10462867,32,111.5083313,32,,1.183000088,800000,90.625,10692508,32,119.7916718,32,89,1.24000001,800000,88.375,11692829,32,131.9833374,32,,1.306999922,799824,86.89411926,12416204,33.5,141.7666626,33.5,,1.361999989,807837,81.699646,13336500,36,154.875,36,,1.402999997,822436,83.89710236,14075520,38,172.0399933,38,,1.445000052,839876,81.55966187,15178490,41.15499878,163.3050079,41.15499878,,1.481999993,854923,82.58053589,15499025,42.10499954,153.7966614,42.10499954,,1.523999929,868522,87.15956879,16296835,42,156.2166748,42
25,North Carolina,,1.075999975,6255000,155.2837677,79104656,18,84.96799469,21.26799965,,1.095999956,6322000,152.7523041,84987520,18,92.11125183,22.38624954,,1.136000037,6405000,148.1030426,91733648,18,96.5625,20.8125,,1.183000088,6482000,145.5723572,100196176,18,105.8496628,21.08300018,89,1.24000001,6565000,139.055603,108584976,18,116.1153412,21.38199997,,1.306999922,6656987,131.6060791,115608648,18,126.0205002,21.6704998,,1.361999989,6748135,130.4064026,120648272,20,139.3074951,24.05750084,,1.402999997,6831850,126.1590958,130627408,24.75,155.6966705,30.73833466,,1.445000052,6947412,124.9242172,139239264,27,148.6159973,32.7159996,,1.481999993,7060959,108.1581192,147792512,29,145.2186584,34.58533478,,1.523999929,7185403,121.538063,157633568,29,149.9940033,34.76900101
26,North Dakota,,1.075999975,677000,105.4652863,8672948,34,106.8079987,38.10800171,,1.095999956,670000,102.0895538,8788163,34,112.0686646,38.31033325,,1.136000037,661000,97.73071289,8968475,34,117.1386719,38.50533295,,1.183000088,655000,92.3664093,8352113,43,138.4889984,50.8390007,89,1.24000001,646000,89.3188858,9279703,43,147.3930054,51.3429985,,1.306999922,637364,82.99810028,10121249,46,162.5421753,55.20050049,,1.361999989,634199,85.30445862,10318486,48,174.9088287,57.90050125,,1.402999997,635427,74.43813324,11241941,49,184.1485138,59.42350006,,1.445000052,637229,82.85874939,11361715,51,180.1735077,61.19850159,,1.481999993,639762,80.34237671,12176830,68,190.5350037,78.78500366,,1.523999929,641548,79.80696869,12243384,68,192.2486725,78.88200378
