Days	City, State	Inches	Milimeters
113 	Atlanta, GA 	49.7 	1263
88 	Austin, TX 	34.2 	870
116 	Baltimore, MD 	41.9 	1064
117 	Birmingham, AL 	53.7 	1364
126 	Boston, MA 	43.8 	1112
167 	Buffalo, NY 	40.5 	1028
110 	Charlotte, NC	41.6 	1057
124 	Chicago, IL	36.9 	937
137 	Cincinnati, OH 	41.9 	1065
155 	Cleveland, OH 	39.1 	994
139 	Columbus, OH 	39.3 	998
81 	Dallas, TX 	37.6 	954
87 	Denver, CO	15.6 	396
135 	Detroit, MI 	33.5 	850
130 	Hartford, CT 	45.9 	1165
104 	Houston, TX 	49.8 	1264
129 	Indianapolis, IN 	42.4 	1078
